activity_index,br,hr,infrared_perf,sleep_classes,temp,time
10,14.3133765691947,53.1606595044761,1337,1,3370,1485382613
10,14.310990002879,52.988942360591,1350,1,3373,1485382623
11,14.3087621294488,53.1896316838904,1362,1,3375,1485382633
10,14.3067299156131,53.4193071379915,1368,1,3375,1485382643
11,14.3051783918605,53.3328130384569,1372,1,3375,1485382653
10,14.3037839967772,53.2258049808116,1382,1,3376,1485382663
11,14.302782285788,53.4758569284256,1396,1,3376,1485382673
11,14.3023384025624,53.7251116360349,1405,1,3376,1485382683
10,14.3023384025624,53.4611476628146,1406,1,3376,1485382694
11,14.3023806743219,52.9600546318768,1394,1,3376,1485382704
10,14.3029221025482,52.6230846240464,1378,1,3376,1485382714
10,14.3045966295633,52.7147450139707,1375,1,3376,1485382724
11,14.3069903698992,52.797683395894,1378,1,3378,1485382734
10,14.3101832860924,52.5594549050365,1383,1,3382,1485382744
9,14.3146736105123,52.1525437528102,1393,1,3387,1485382754
10,14.3195404608222,52.1223975752585,1395,1,3392,1485382764
10,14.3251074459556,52.8307229579519,1395,0,3397,1485382774
10,14.3312103750588,53.7274730096075,1401,0,3397,1485382784
12,14.3375148540497,54.4150404501531,1406,0,3398,1485382794
10,14.3441465355994,54.4257385879742,1407,0,3399,1485382804
11,14.3507896498985,53.6216414607449,1403,0,3399,1485382814
9,14.3573534755146,52.8769560250116,1393,0,3399,1485382824
9,14.3638566067495,52.6195620344539,1380,0,3399,1485382834
10,14.3700588237677,52.7634811356055,1364,0,3399,1485382844
11,14.3757725271662,53.1703652633896,1357,0,3399,1485382854
9,14.3811804522361,53.480979858843,1359,0,3399,1485382864
11,14.3858223667715,53.3771060862815,1374,0,3399,1485382874
10,14.3898779115002,53.2314508605321,1391,0,3399,1485382884
10,14.3933610510893,53.3537224409909,1394,0,3400,1485382895
11,14.395339966155,53.3730024365252,1401,0,3402,1485382905
11,14.3962690684687,53.5629954069797,1413,0,3405,1485382915
10,14.3962690684687,53.8156913961735,1419,0,3412,1485382925
12,14.3961392795472,53.9239461917628,1423,0,3416,1485382935
11,14.3950223817171,53.8217834550359,1424,0,3420,1485382945
10,14.3929622890285,53.511622980355,1431,0,3420,1485382955
10,14.3907118568969,53.4787369822319,1438,0,3422,1485382965
9,14.388193656911,53.792199050163,1440,0,3423,1485382975
